modelname,eval
de_c_s_sl120_units128_dropout04_cat,0.9915752351097179
de_c_s_sl90_units128_dropout04_cat,0.9905863894881349
de_c_s_sl40_units128_dropout02,0.9791109791109791
de_c_s_sl40_units128_dropout00_cat,0.9790596602133544
de_c_s_sl40_units128_dropout04_cat,0.9787696257529377
de_c_s_sl40_units128_dropout02_cat,0.978698224852071
de_c_s_sl40_units128_dropout00,0.9779970399605328
de_c_s_sl40_units128_dropout04,0.977944812580358
de_c_s_sl40_units64_dropout02,0.97749703908409
de_c_s_sl40_units64_dropout00_cat,0.977474807350326
de_c_s_sl40_units32_dropout00_cat,0.9774436090225563
de_c_s_sl40_units64_dropout02_cat,0.9773916477441011
de_c_s_sl40_units64_dropout00,0.9769694573490165
de_c_s_sl40_units32_dropout02_cat,0.9767395823022864
de_c_s_sl40_units32_dropout02,0.9766890557092058
de_c_s_sl40_units64_dropout04_cat,0.9764263074484945
de_c_s_sl40_units32_dropout04_cat,0.9759729944400317
de_c_s_sl40_units32_dropout00,0.9758797943851325
de_c_s_sl40_units64_dropout04,0.9756339144215531
de_c_s_sl40_units32_dropout04,0.9728277097641087
de_c_s_sl20_units128_dropout02_cat,0.9584498601677987
de_c_s_sl20_units128_dropout04_cat,0.9579042095790421
de_c_s_sl20_units64_dropout00,0.9578589974036349
de_c_s_sl20_units128_dropout00_cat,0.957614441009275
de_c_s_sl20_units128_dropout02,0.9576109830644353
de_c_s_sl20_units128_dropout00,0.9575166650084569
de_c_s_sl20_units64_dropout00_cat,0.957259836229279
de_c_s_sl20_units128_dropout04,0.9569762766385203
de_c_s_sl20_units64_dropout02_cat,0.9568517778665602
de_c_s_sl20_units64_dropout02,0.9565653525930384
de_c_s_sl20_units32_dropout00_cat,0.9552568218298555
de_c_s_sl20_units64_dropout04_cat,0.9540954095409541
de_c_s_sl20_units32_dropout00,0.9535932645083692
de_c_s_sl20_units32_dropout02,0.9534064607024253
de_c_s_sl20_units32_dropout02_cat,0.9528952895289529
de_c_s_sl20_units64_dropout04,0.9525827280064568
de_c_s_sl20_units32_dropout04,0.9521109648678748
de_c_s_sl20_units32_dropout04_cat,0.948302233098807
